,index,importance
0,PAIN,0.2172889962637913
1,species,0.16360586663232915
2,LEMA,0.07856498580413791
3,precip,0.07682561203732297
4,CHFU,0.056287772988930417
5,POMA,0.04425399639176883
6,HOMA,0.02875053160657127
7,PUPA,0.026966112762052352
8,cn,0.02585859892884604
9,co3,0.024066609560847784
10,p,0.019112135491168893
11,salinity,0.018406626937176103
12,mo,0.017723775072738788
13,PLCO,0.017485415087249316
14,k,0.016922516644771166
15,SASO,0.015946211073852377
16,ca,0.01487596692440957
17,c,0.012720598177156716
18,random_noise,0.012397909034000338
19,mg,0.012364477572857647
20,na,0.01211503763366986
21,ph,0.011783909245862565
22,cl,0.010829007574819147
23,MESU,0.01051266800300818
24,CETE,0.009458457400663159
25,RAPE,0.008472743565276799
26,BEMA,0.006931162771060711
27,CHMI,0.005297193336755516
28,POMO,0.004482913752329587
29,SOAS,0.004476137856339546
30,n,0.0037229579222705076
31,MEEL,0.0028241545973746217
32,SPRU,0.0026991735685987705
33,SCLA,0.00263591623438833
34,LYTR,0.002194231425355674
35,COSQ,0.0003562068559098291
36,SUSP,0.0003481464281577244
37,MEPO,0.00030182746048100853
38,FRPU,0.0001334393756995066
