real,prediction
2,7.01
1,4.15
1,6.93
0,0.0
0,0.0
3,12.57
0,0.0
1,10.16
2,28.27
0,0.0
14,42.6
8,43.23
7,51.7
0,0.0
3,13.31
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
44,69.7
35,56.77
320,135.53
340,213.64
340,307.25
10,18.79
4,22.65
75,134.83
2,34.37
12,90.95
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
3,21.52
0,0.0
0,0.0
0,0.0
0,0.0
5,30.71
0,0.0
35,32.33
0,0.0
40,29.71
52,47.19
0,0.0
0,0.0
0,0.0
0,0.0
3,40.77
0,0.0
3,38.17
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
2,36.81
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
4,38.88
0,0.0
0,0.0
2,48.55
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
3,20.24
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
2,2.32
0,0.0
0,0.0
0,0.0
2,13.61
1,5.18
1,9.69
0,0.0
0,0.0
12,11.43
13,10.56
0,0.0
0,0.0
1,5.32
0,0.0
0,0.0
2,8.83
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
34,42.2
102,90.91
360,295.3
180,109.9
200,284.8
15,18.93
8,15.27
130,99.44
0,0.0
30,21.37
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
3,4.69
0,0.0
20,13.82
0,0.0
60,36.96
2,13.28
0,0.0
0,0.0
0,0.0
0,0.0
24,15.87
0,0.0
6,12.4
0,0.0
0,0.0
3,4.37
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
4,5.71
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
7,6.14
0,0.0
0,0.0
12,13.7
2,5.03
4,3.55
1,2.22
0,0.0
0,0.0
0,0.0
2,3.47
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
1,3.86
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
6,9.08
2,10.44
0,0.0
7,63.85
83,48.41
90,57.31
0,0.0
8,16.79
0,0.0
4,23.8
4,35.54
0,0.0
