real,prediction
2,1.11
1,2.87
1,2.59
0,0.77
0,0.36
3,2.33
0,0.55
1,11.77
2,1.46
0,0.31
14,28.73
8,26.79
7,10.62
0,0.42
3,5.07
0,0.02
0,0.04
0,0.94
0,0.0
0,0.0
0,0.02
0,0.05
0,0.5
0,0.0
0,0.0
0,0.02
0,0.08
0,0.44
0,0.0
0,0.0
44,40.85
35,98.56
320,312.1
340,254.68
340,328.9
10,23.9
4,18.08
75,140.81
2,10.64
12,20.39
0,1.68
0,0.71
0,0.47
0,0.5
0,0.0
0,1.84
0,0.62
0,0.09
0,0.48
0,0.0
0,1.5
0,0.55
0,0.09
0,0.48
0,0.0
3,3.67
0,0.86
0,0.58
0,0.49
0,1.02
5,8.89
0,0.65
35,32.06
0,0.65
40,39.06
52,29.3
0,2.07
0,0.93
0,0.71
0,0.89
3,13.59
0,0.64
3,13.76
0,1.16
0,0.64
0,2.23
0,0.42
0,8.89
0,0.87
0,0.25
0,1.41
0,0.46
2,15.15
0,2.38
0,0.39
0,1.12
0,0.45
0,9.41
0,0.94
0,0.42
4,9.12
0,7.13
0,1.56
2,32.05
0,0.81
0,3.49
0,0.03
0,1.39
0,0.29
0,0.04
3,4.08
0,0.04
0,1.33
0,0.29
0,0.03
0,3.22
0,0.04
0,1.95
0,0.29
0,0.03
0,1.85
0,0.03
0,0.95
0,0.29
0,0.03
0,2.99
2,2.05
0,1.2
0,0.45
0,0.15
2,7.3
1,0.51
1,8.48
0,0.69
0,0.66
12,10.52
13,10.69
0,4.8
0,0.0
1,4.41
0,1.24
0,1.14
2,0.93
0,0.0
0,0.0
0,0.43
0,0.46
0,0.12
0,0.0
0,0.0
0,0.43
0,0.44
0,0.02
0,0.0
0,0.0
34,40.47
102,75.63
360,332.8
180,162.45
200,333.0
15,17.58
8,16.71
130,108.33
0,7.73
30,22.5
0,0.55
0,1.06
0,0.06
0,0.53
0,0.54
0,1.02
0,1.16
0,0.0
0,0.51
0,0.6
0,0.57
0,0.91
0,0.0
0,0.51
0,0.84
0,1.21
0,1.58
0,0.06
0,0.51
0,11.81
3,9.06
0,0.99
20,22.21
0,0.51
60,53.3
2,24.57
0,1.76
0,0.07
0,0.53
0,0.24
24,19.74
0,0.41
6,9.15
0,0.9
0,4.9
3,2.07
0,0.19
0,0.27
0,0.89
0,0.29
0,1.02
0,0.19
4,17.99
0,1.29
0,0.29
0,1.06
0,0.19
0,0.39
0,0.59
0,0.34
7,8.94
0,1.06
0,1.09
12,18.74
2,1.38
4,1.67
1,0.11
0,0.32
0,0.0
0,0.07
2,1.76
0,0.04
0,0.08
0,0.0
0,0.07
0,0.42
0,0.03
0,0.08
0,0.0
0,0.07
0,0.31
0,0.03
0,0.1
0,0.0
0,0.07
0,0.86
1,2.53
0,1.23
0,2.14
0,0.06
0,1.47
0,0.4
6,10.44
2,6.34
0,0.45
7,23.31
83,63.83
90,70.57
0,4.46
8,7.86
0,0.38
4,0.46
4,6.0
0,0.0
0,0.0
0,0.01
0,0.14
0,0.72
0,0.0
0,0.0
0,0.01
0,0.17
0,0.47
0,0.0
0,0.0
0,58.98
43,110.13
210,147.28
200,274.4
380,195.89
17,21.06
3,29.83
140,120.9
5,17.49
2,19.43
0,0.14
0,3.59
0,1.72
0,0.26
0,0.12
1,0.27
0,3.34
0,0.75
0,0.25
0,0.0
0,0.28
0,1.97
0,0.39
0,0.25
0,0.0
6,8.55
