,index,importance
0,PAIN,0.2176399754411457
1,species,0.1642536050505417
2,LEMA,0.08111815600627159
3,precip,0.07736951879644352
4,CHFU,0.05748575094043205
5,POMA,0.044658630659748955
6,HOMA,0.027657351407090598
7,PUPA,0.025724725628162904
8,co3,0.02448370014278658
9,cn,0.02211055843096326
10,salinity,0.01876290479877377
11,p,0.0186023311765456
12,mo,0.017727696936821906
13,PLCO,0.01715821657555431
14,random_noise,0.016852647031246892
15,k,0.01666510405453581
16,ca,0.01487483136578047
17,SASO,0.014852314066936784
18,c,0.013368163080984683
19,mg,0.012240627025793743
20,na,0.01174623731629922
21,cl,0.011111017367825179
22,ph,0.010046193844534595
23,MESU,0.009712910767459336
24,CETE,0.009263574536598259
25,RAPE,0.008422613407650817
26,BEMA,0.006465341491555664
27,SOAS,0.004914655210879321
28,CHMI,0.004868254587658355
29,POMO,0.004640796462535362
30,n,0.003311424191255174
31,MEEL,0.003033622239161527
32,SCLA,0.002614957123570321
33,SPRU,0.0024915143155857617
34,LYTR,0.002491248622519691
35,SUSP,0.00040199611640762194
36,COSQ,0.0003544722256216402
37,MEPO,0.00031785531559829947
38,FRPU,0.0001845062407230734
