"species";"medianindividuals";"meanindividuals";"varindividuals"
"BEMA";3;5,10707070707071;39,7030875557191
"CETE";6;9,28157894736842;81,0577072628802
"CHFU";11;18,9370932754881;508,0459841585
"CHMI";15;17,9464285714286;237,654761904762
"COSQ";2;2,59183673469388;4,91326530612245
"FRPU";1;1,55;0,766666666666667
"HOMA";130;165,866900175131;18182,4222338533
"LEMA";12;32,4561752988048;3017,39887508788
"LYTR";4;12,7525773195876;593,047273115752
"MEEL";3;3,23404255319149;5,92340425531915
"MEPO";2;2,36;3,15666666666667
"MESU";2;5,62569832402235;159,881914777084
"PAIN";7;15,2246469833119;322,814507426633
"PLCO";8;20,9950617283951;1088,79700525608
"POMA";14;22,9007832898172;590,390143176505
"POMO";3;5,2625;31,4275157232704
"PUPA";4;9,89285714285714;244,319022556391
"RAPE";4;9,51764705882353;164,310337626175
"SASO";7;17,9534050179211;947,470314348922
"SCLA";2;5,45045045045045;67,4975337328278
"SOAS";2;3,83928571428571;33,6446749358426
"SPRU";3;5,21264367816092;36,5267756295263
"SUSP";2;2,62264150943396;9,85486211901306
